userId,movieId,rating,timestamp
1,1,3.5,1256677221
1,2,3.5,1256677456
1,3,1.5,1256677471
1,4,4.5,1256677460
1,5,4.5,1256677264
1,6,2.5,1256677236
1,7,1.5,1256677475
1,8,4.5,1256677464
1,9,4.0,1256677239
1,10,3.0,1256677500
1,11,2.5,1256677496
1,12,4.0,1256677260
1,13,4.5,1256677444
1,14,3.5,1256677243
1,15,2.0,1256677210
1,16,3.5,1256677486
2,1,3.5,1192913581
2,2,3.5,1192913537
2,3,3.5,1192913611
2,4,3.0,1192913585
2,5,3.0,1192913551
2,6,4.5,1192913608
2,7,3.0,1192913565
2,8,4.0,1192913533
2,9,3.5,1192913541
2,10,4.5,1192913604
2,11,4.0,1192913575
2,12,3.5,1192913600
2,13,4.0,1192913548
2,14,3.5,1192913562
2,15,4.0,1192913596
3,1,3.0,945141610
3,2,4.0,945141610
3,3,3.0,945141407
3,4,4.0,945141407
3,5,4.0,945141407
3,6,4.0,945141611
3,7,3.0,945141611
3,8,2.0,945141611
3,9,3.0,945141611
3,10,5.0,945141611
3,11,4.0,945141407
4,1,4.0,1113765937
4,2,4.0,1113767306
4,3,2.0,1123990453
4,4,4.5,1113767242
4,5,4.0,1113765995
4,6,3.5,1113767280
4,7,4.0,1113765691
4,8,2.0,1113767324
4,9,2.5,1145937918
4,10,3.0,1115782385
4,11,4.5,1113767215
4,12,3.0,1113796669
4,13,4.5,1113767082
4,14,3.5,1113767134
4,15,3.5,1113767240
4,16,2.5,1113767219
4,17,4.5,1123990211
4,18,1.0,1123989796
4,19,2.0,1117080123
4,20,5.0,1113767129
4,21,4.5,1113767113
4,22,3.0,1114050467
4,23,3.5,1135543206
4,24,0.5,1115782387
4,25,0.5,1145937915
4,26,3.0,1117080064
4,27,2.0,1113766115
4,28,4.0,1115782362
4,29,4.5,1113767211
4,30,4.0,1115782366
4,31,3.0,1113765671
4,32,4.5,1113767070
4,33,4.5,1113767207
4,34,4.0,1115782372
4,35,4.0,1113765768
4,36,4.5,1123990462
4,37,2.0,1113767107
4,38,0.5,1127946524
4,39,2.5,1113767377
4,40,4.0,1113765802
4,41,2.5,1113765975
4,42,4.5,1113767110
4,43,0.5,1113796675
4,44,3.0,1114050521
4,45,3.5,1113796672
4,46,3.5,1114050212
4,47,3.5,1127946774
4,48,4.5,1113797176
4,49,0.5,1127946789
4,50,3.0,1113767187
4,51,2.0,1113766782
4,52,0.5,1113766123
4,53,4.5,1135543037
4,54,3.5,1145937771
4,55,2.0,1115782393
4,56,4.5,1113767287
4,57,0.5,1113767153
